Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
200 E  82ND                         ST,,33.9654,-118.2717,8/31/2020 0:00,8/31/2020 0:00,400,12,77th Street,1268,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
1900 S  BROADWAY,,34.0316,-118.2657,2/13/2020 0:00,2/13/2020 0:00,1555,13,Newton,1321,1,0334 1300 0913 1310,34,F,B,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Crimes against Public Order
11400    ALBERS                       ST,,34.1705,-118.379,6/16/2020 0:00,6/16/2020 0:00,1730,15,N Hollywood,1547,1,1402 0421 0422 0448 1414 1822 2004 0334 0202 0387,17,M,H,108,PARKING LOT,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Violent Crimes
15100    MINNEHAHA                    ST,,34.2601,-118.4608,12/11/2020 0:00,12/11/2020 0:00,857,19,Mission,1954,2,2038,53,F,H,101,STREET,,,IC,Invest Cont,Crimes against Public Order
8900    RESEDA                       BL,,34.2319,-118.5361,8/7/2020 0:00,8/7/2020 0:00,2300,17,Devonshire,1785,2,0447 1402 2000 1814 1218 0913 2004,25,M,W,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,Violent Crimes
8700    BAIRD                        AV,,34.2297,-118.5374,7/25/2021 0:00,7/21/2020 0:00,1700,17,Devonshire,1785,1,344,46,M,H,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
3200 W  JEFFERSON                    BL,,34.0256,-118.3305,5/28/2020 0:00,5/28/2020 0:00,200,3,Southwest,334,1,1607 0344 0397 2018 1822 1309 1402 1602,19,X,X,213,WAREHOUSE,,,IC,Invest Cont,Property Crimes
13300    BURBANK                      BL,,34.1722,-118.4225,1/15/2020 0:00,1/14/2020 0:00,2100,9,Van Nuys,948,2,0329 1602 0397,30,F,W,210,RESTAURANT/FAST FOOD,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,Property Crimes
3300 W  8TH                          ST,,34.0577,-118.2998,3/16/2020 0:00,3/16/2020 0:00,840,20,Olympic,2044,2,0329 1822 0371 0202 0906 1019 0342,31,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
13000    DRONFIELD                    AV,,34.3107,-118.4409,12/29/2020 0:00,12/28/2020 0:00,1600,19,Mission,1917,1,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
100 S  NEW HAMPSHIRE                AV,,34.0727,-118.2929,6/8/2020 0:00,6/8/2020 0:00,1400,20,Olympic,2017,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
12500 W  JEFFERSON                    BL,,33.9782,-118.422,6/18/2020 0:00,6/1/2020 0:00,1200,14,Pacific,1463,1,344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
5900    RIVERTON                     AV,,34.1776,-118.3659,4/13/2020 0:00,4/12/2020 0:00,2130,15,N Hollywood,1539,2,329,52,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
2600 E  OLYMPIC                      BL,,34.0253,-118.2224,8/7/2020 0:00,8/5/2020 0:00,1200,4,Hollenbeck,491,1,0344 0325,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
3RD                          ST,NORMANDIE                    AV,34.069,-118.3004,1/5/2020 0:00,1/5/2020 0:00,1930,20,Olympic,2016,2,444,53,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
12800    ENCINITAS                    AV,,34.3024,-118.477,11/20/2020 0:00,11/20/2020 0:00,750,19,Mission,1921,2,2004 0421,34,M,H,301,GAS STATION,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
11800    ROSCOE                       BL,,34.2216,-118.3914,8/4/2020 0:00,8/4/2020 0:00,1930,16,Foothill,1684,1,2000 1813 0913 0444 0429,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
8800    ETON                         AV,,34.2286,-118.5951,8/2/2020 0:00,8/1/2020 0:00,1130,21,Topanga,2106,2,329,79,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
6200    BECK                         AV,,34.1831,-118.3833,3/23/2020 0:00,3/23/2020 0:00,2230,15,N Hollywood,1526,1,0913 2002 0429 0408 0451 2000 1814 0400 0416 0444,32,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
7500    AVALON                       BL,,33.9718,-118.2652,11/28/2020 0:00,11/27/2020 0:00,1800,12,77th Street,1259,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
3700 S  GRAMERCY                     PL,,34.0214,-118.3138,9/10/2020 0:00,9/10/2020 0:00,500,3,Southwest,355,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
5600 W  SUNSET                       BL,,34.1,-118.3113,4/25/2020 0:00,4/25/2020 0:00,830,6,Hollywood,648,1,0325 0601 0104 0400 0432 0334 1822 0421 0216 0945,34,M,O,401,MINI-MART,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Property Crimes
55TH,AVALON,33.9925,-118.2652,7/19/2020 0:00,7/12/2020 0:00,2030,13,Newton,1372,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
800 W  103RD                        ST,,33.943,-118.2911,7/19/2021 0:00,11/1/2020 0:00,1200,18,Southeast,1821,2,1300 0421 0432 0913 0554 0602,43,M,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
11400    VICTORY                      BL,,34.1867,-118.379,2/22/2020 0:00,2/22/2020 0:00,510,15,N Hollywood,1526,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
300 E  1ST                          ST,,34.0502,-118.2406,12/30/2020 0:00,12/30/2020 0:00,200,1,Central,128,2,0913 0361 1420 0329,28,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
LAZARD,SYLMAR,34.3062,-118.4222,9/10/2020 0:00,9/9/2020 0:00,20,19,Mission,1907,1,0913 0429 0344,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
700 S  BIXEL                        ST,,34.0507,-118.2643,7/1/2020 0:00,7/1/2020 0:00,1030,2,Rampart,269,1,1822 0329 0344,45,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
3600    FREDONIA                     DR,,34.1343,-118.3591,1/8/2020 0:00,1/5/2020 0:00,2100,15,N Hollywood,1599,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
5200    VINELAND                     AV,,34.1649,-118.3703,11/20/2020 0:00,11/19/2020 0:00,1300,15,N Hollywood,1548,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
17500    RAYMER                       ST,,34.226,-118.5157,9/30/2020 0:00,9/30/2020 0:00,2130,17,Devonshire,1795,1,1402 0302 0603 0913 0361 0421 0334 0329 1419,48,M,H,104,DRIVEWAY,104,SHOTGUN,AA,Adult Arrest,Violent Crimes
11900    VOSE                         ST,,34.1984,-118.3965,10/8/2020 0:00,10/8/2020 0:00,1000,15,N Hollywood,1515,1,0334 0340 2004 2157 1420 1822,23,M,B,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,Property Crimes
4600    HOOPER                       AV,,33.9994,-118.2543,3/15/2023 0:00,1/1/2020 0:00,1,13,Newton,1364,2,0444 0913 2000 1814 0448 0416,42,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
10300 N  SEPULVEDA                    BL,,34.2573,-118.4673,10/14/2020 0:00,10/14/2020 0:00,1400,19,Mission,1954,1,0325 0945 0378 1822 0216 0104 0432,39,F,H,409,BEAUTY SUPPLY STORE,515,PHYSICAL PRESENCE,IC,Invest Cont,Property Crimes
14700    ERWIN                        ST,,34.1836,-118.4531,2/11/2020 0:00,2/10/2020 0:00,2100,9,Van Nuys,933,2,1501 1258,9,M,B,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,Crimes against Persons
1100 S  WINDSOR                      BL,,34.0507,-118.3281,7/13/2020 0:00,7/12/2020 0:00,400,7,Wilshire,758,2,0929 0935 1822,43,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
19700    VANOWEN                      ST,,34.1938,-118.5631,7/24/2020 0:00,7/24/2020 0:00,1000,21,Topanga,2149,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
7500    LANKERSHIM                   BL,,34.2067,-118.3878,1/27/2020 0:00,1/27/2020 0:00,2125,15,N Hollywood,1505,1,1302 1607 0344,36,M,H,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
2000    JOHN S GIBSON                BL,,33.7589,-118.2872,2/13/2020 0:00,2/12/2020 0:00,2120,5,Harbor,523,2,329,0,X,X,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,Property Crimes
600 W  91ST                         ST,,33.9542,-118.2848,3/18/2020 0:00,3/18/2020 0:00,2000,18,Southeast,1801,2,1701 0913 0416 0562 1202 1815 2024 0444,62,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
18600    DELANO                       ST,,34.1829,-118.5392,2/3/2020 0:00,2/2/2020 0:00,1900,10,West Valley,1033,1,344,29,M,W,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
900 W  88TH                         ST,,33.9579,-118.2899,8/13/2020 0:00,5/13/2020 0:00,700,18,Southeast,1801,2,0913 2000 1813 0432 2038 0421,29,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,Crimes against Public Order
VENTURA                      BL,VENTURA CANYON               AV,34.1477,-118.4295,9/18/2020 0:00,9/18/2020 0:00,250,9,Van Nuys,989,2,416,25,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
10900    VENICE                       BL,,34.0155,-118.4125,9/29/2020 0:00,9/28/2020 0:00,1730,14,Pacific,1438,1,0344 0321 1610,0,X,X,218,BEAUTY/BARBER SHOP,,,IC,Invest Cont,Property Crimes
10600 N  SEPULVEDA                    BL,,34.2631,-118.4674,11/14/2020 0:00,11/14/2020 0:00,1345,19,Mission,1951,2,416,43,M,H,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
2300    DALLAS                       ST,,34.0932,-118.2407,1/5/2020 0:00,1/4/2020 0:00,1800,11,Northeast,1176,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
BEVERLY                      BL,IRVING                       BL,34.0762,-118.3185,3/1/2020 0:00,3/1/2020 0:00,1156,20,Olympic,2001,1,1402 1607 0358 2004 1822,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,Property Crimes
MELROSE                      AV,LA BREA                      AV,34.0835,-118.3441,1/3/2020 0:00,1/3/2020 0:00,700,7,Wilshire,706,2,1300 0329 1822 0447,25,F,W,101,STREET,,,IC,Invest Cont,Property Crimes
100 S  MATHEWS                      ST,,34.0424,-118.2092,1/19/2021 0:00,9/23/2020 0:00,640,4,Hollenbeck,467,2,100,34,M,H,101,STREET,,,IC,Invest Cont,Fraud and White-Collar Crimes
6500    INDEPENDENCE                 AV,,34.1889,-118.5905,8/8/2020 0:00,8/7/2020 0:00,1500,21,Topanga,2157,2,2004 0329 1402 1275,50,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,Property Crimes
500 S  SAN PEDRO                    ST,,34.0437,-118.2455,4/23/2020 0:00,4/21/2020 0:00,2300,1,Central,156,1,0344 1822 1609,31,M,H,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,Property Crimes
500    STANFORD                     AV,,34.0416,-118.244,7/18/2020 0:00,7/17/2020 0:00,1800,1,Central,157,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
10100    LAUREL CANYON                BL,,34.2536,-118.4266,12/31/2020 0:00,12/28/2020 0:00,2000,16,Foothill,1641,1,1822 1300 0344 1307 0321,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
6500    HOMEWOOD                     AV,,34.0952,-118.3332,7/20/2020 0:00,7/19/2020 0:00,2200,6,Hollywood,666,1,0344 1300 1822,39,M,A,101,STREET,,,IC,Invest Cont,Property Crimes
2600 N  FIGUEROA                     ST,,34.0884,-118.2258,3/19/2020 0:00,3/19/2020 0:00,855,11,Northeast,1177,1,344,0,X,X,301,GAS STATION,,,IC,Invest Cont,Property Crimes
CHASE,ETIWANDA,34.2246,-118.5317,8/20/2020 0:00,8/20/2020 0:00,1800,17,Devonshire,1794,2,0913 2024 0555 2003 1257 0444,4,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 S  BURLINGTON                   AV,,34.0596,-118.27,11/21/2020 0:00,6/1/2020 0:00,830,2,Rampart,247,1,1258 1801 0400 0448 0522 0515 1402 0913,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
67TH,MAIN,33.979,-118.2739,9/21/2020 0:00,9/21/2020 0:00,200,13,Newton,1393,1,1300 1307 0302 0355 1310 1822,36,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,Property Crimes
2600    ORCHARD                      AV,,34.0303,-118.2874,11/29/2020 0:00,11/29/2020 0:00,1425,3,Southwest,327,2,0329 0603,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",312,PIPE/METAL PIPE,AO,Adult Other,Property Crimes
2800 S  VERMONT                      AV,,34.0291,-118.2915,9/12/2020 0:00,9/12/2020 0:00,1600,3,Southwest,325,2,0329 0311,19,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
4300    LAUREL CANYON                BL,,34.1485,-118.3965,10/30/2020 0:00,10/12/2020 0:00,1200,15,N Hollywood,1583,2,1822 0923,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,Fraud and White-Collar Crimes
4000    8TH                          AV,,34.0105,-118.3262,8/4/2020 0:00,8/4/2020 0:00,1017,3,Southwest,393,2,0329 1202 1822,61,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
1200 S  FAIRFAX                      AV,,34.0558,-118.3706,5/30/2020 0:00,5/30/2020 0:00,1700,7,Wilshire,752,2,0400 2000 1814 0913,24,F,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
MAIN,4TH,34.0481,-118.2472,7/5/2020 0:00,7/4/2020 0:00,1400,1,Central,144,1,0329 1609 0344 1307 1822 1202,75,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
FOOTHILL                     BL,BLEDSOE                      ST,34.321,-118.4478,5/2/2020 0:00,5/2/2020 0:00,1517,19,Mission,1902,1,344,32,F,H,232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",,,IC,Invest Cont,Property Crimes
7TH                          ST,MESA,33.7379,-118.2857,9/30/2020 0:00,9/29/2020 0:00,1930,5,Harbor,564,1,0377 0344 0416 0342 0446 0417 0429,57,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
3500 S  LA CIENEGA                   BL,,34.0237,-118.3722,8/23/2020 0:00,8/23/2020 0:00,1100,3,Southwest,321,1,0104 0325 0334 1822 1266 0945,19,X,X,404,DEPARTMENT STORE,204,FOLDING KNIFE,IC,Invest Cont,Property Crimes
ARLINGTON                    AV,WASHINGTON                   BL,34.0399,-118.3177,7/19/2020 0:00,7/19/2020 0:00,100,7,Wilshire,779,2,0329 1300,26,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
18400    PRAIRIE                      ST,,34.2442,-118.5362,12/8/2020 0:00,12/8/2020 0:00,1400,17,Devonshire,1767,2,2000 0913 1814 0444 0416 1300,22,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
900    GEORGIA                      ST,,34.0475,-118.2657,1/28/2020 0:00,1/28/2020 0:00,910,1,Central,171,1,1307 1822 0329 1609 0344,53,M,I,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
CENTURY,SUCCESS                      AV,33.9456,-118.2491,2/27/2020 0:00,2/27/2020 0:00,1539,18,Southeast,1826,1,1822 1218 0344,50,M,H,102,SIDEWALK,,,IC,Invest Cont,Property Crimes
3800    POTOMAC                      AV,,34.016,-118.346,12/8/2023 0:00,4/22/2020 0:00,655,3,Southwest,362,2,1822 0100,50,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
14700    STRATHERN                    ST,,34.2161,-118.4536,5/22/2020 0:00,5/22/2020 0:00,1040,19,Mission,1995,2,2038 2004,30,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,Crimes against Public Order
2500    WESTWOOD                     BL,,34.0392,-118.4277,4/21/2020 0:00,4/19/2020 0:00,1530,8,West LA,884,1,0344 1822 0202 1420 1602 0394,36,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
300 S  ST ANDREWS                   PL,,34.0655,-118.3114,12/7/2020 0:00,6/25/2020 0:00,1,20,Olympic,2022,2,0100 0929 1822,35,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
8800    CORBIN                       AV,,34.2303,-118.5623,9/18/2020 0:00,9/17/2020 0:00,2130,17,Devonshire,1782,1,1501 0329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
20600    TRIBUNE                      ST,,34.2663,-118.5815,1/31/2020 0:00,1/31/2020 0:00,1930,17,Devonshire,1723,1,1609 1607 0216 0321 0344,47,F,O,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
900    NOLDEN                       ST,,34.1191,-118.1952,4/23/2020 0:00,4/22/2020 0:00,1400,11,Northeast,1127,1,344,43,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
APPLE,CLOVERDALE,34.0344,-118.3566,10/17/2020 0:00,10/17/2020 0:00,2200,7,Wilshire,783,1,0302 0202 1822,48,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,Violent Crimes
600    GAYLEY                       AV,,34.0626,-118.4491,5/25/2020 0:00,5/23/2020 0:00,1200,8,West LA,838,1,0344 1251 1822 1607 0349,21,M,W,710,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
EASTLAKE,MISSION,34.0646,-118.2088,11/30/2020 0:00,11/30/2020 0:00,715,4,Hollenbeck,423,1,0913 0411 1218 2004,55,M,H,152,UNDERPASS/BRIDGE*,212,BOTTLE,IC,Invest Cont,Violent Crimes
13200 W  RIVERSIDE                    DR,,34.1576,-118.4209,8/9/2020 0:00,8/8/2020 0:00,1700,9,Van Nuys,969,1,1501 0358 0321 1300,77,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
23300    MULHOLLAND                   DR,,34.1571,-118.6349,4/27/2020 0:00,4/27/2020 0:00,1830,21,Topanga,2183,2,0447 2000 0356 1814,32,F,W,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,Violent Crimes
500 S  FAIRFAX                      AV,,34.0665,-118.3662,2/5/2020 0:00,2/1/2020 0:00,1400,7,Wilshire,732,1,,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
14900    CHATSWORTH                   ST,,34.2645,-118.457,7/20/2020 0:00,6/1/2020 0:00,1503,19,Mission,1955,1,,62,M,H,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
1300 W  MANCHESTER                   AV,,33.96,-118.2986,10/21/2020 0:00,10/8/2020 0:00,1200,12,77th Street,1265,2,1822,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Crimes against Public Order
98TH                         ST,MAIN                         ST,33.9472,-118.2739,11/13/2020 0:00,11/12/2020 0:00,1130,18,Southeast,1822,2,1822 0444,40,M,H,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
8700 W  3RD                          ST,,34.0736,-118.3827,11/10/2020 0:00,11/5/2020 0:00,1045,7,Wilshire,721,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
800    MANITOBA                     ST,,33.9542,-118.4402,2/18/2020 0:00,2/18/2020 0:00,1200,14,Pacific,1483,2,701,74,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
34TH                         ST,CENTRAL                      AV,34.0128,-118.2565,2/9/2020 0:00,2/9/2020 0:00,1730,13,Newton,1343,2,1212 0446,0,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
2400    BAGLEY                       AV,,34.0404,-118.3923,5/5/2020 0:00,1/7/2020 0:00,1130,8,West LA,887,2,100,50,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
4000    EAGLE ROCK                   BL,,34.12,-118.2288,8/12/2020 0:00,8/10/2020 0:00,1920,11,Northeast,1136,2,329,0,X,X,247,CAR WASH,,,IC,Invest Cont,Property Crimes
5700    ETIWANDA                     AV,,34.1749,-118.5308,9/10/2020 0:00,9/9/2020 0:00,1000,10,West Valley,1045,1,1822 0344 1202 1300,73,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
8200    WOODMAN                      AV,,34.2196,-118.4319,1/14/2020 0:00,1/13/2020 0:00,2100,19,Mission,1999,1,321,49,M,O,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,Property Crimes
6800    HOLLYWOOD                    BL,,34.1016,-118.3387,5/25/2020 0:00,5/24/2020 0:00,1400,6,Hollywood,645,1,344,0,X,X,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,,,IC,Invest Cont,Property Crimes
700 N  SWEETZER                     AV,,34.0837,-118.3703,12/18/2020 0:00,12/11/2020 0:00,2300,7,Wilshire,701,1,0344 1606 1300,23,F,A,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
SHENANDOAH                   ST,OHIO                         ST,34.0364,-118.3872,5/23/2020 0:00,5/23/2020 0:00,1825,8,West LA,898,2,0400 0401,0,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5600    RESEDA                       BL,,34.1769,-118.5384,2/14/2020 0:00,2/14/2020 0:00,400,10,West Valley,1043,1,1609 1822 0344,54,M,O,101,STREET,,,IC,Invest Cont,Property Crimes
2100    COLORADO                     BL,,34.1392,-118.2126,4/27/2020 0:00,4/26/2020 0:00,1520,11,Northeast,1115,1,0344 0325,0,X,X,248,CELL PHONE STORE,,,IC,Invest Cont,Property Crimes
4800    ATOLL                        AV,,34.1576,-118.4203,3/23/2020 0:00,3/22/2020 0:00,1000,9,Van Nuys,969,1,344,22,F,W,101,STREET,,,IC,Invest Cont,Property Crimes
8800 S  SEPULVEDA                    BL,,33.9579,-118.402,12/1/2020 0:00,11/25/2020 0:00,2332,14,Pacific,1485,1,1609 0344,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
12000    FOOTHILL                     BL,,34.2764,-118.3971,7/31/2020 0:00,6/8/2020 0:00,1425,16,Foothill,1633,1,1822 0394 0352,44,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
LAUREL CANYON,OSBORNE,34.2469,-118.4195,9/28/2020 0:00,9/28/2020 0:00,2030,16,Foothill,1651,1,1822 2004 1601 0416,29,M,H,102,SIDEWALK,305,FIXED OBJECT,IC,Invest Cont,Violent Crimes
1800 W  38TH                         PL,,34.0164,-118.3133,4/17/2021 0:00,10/27/2020 0:00,1300,3,Southwest,375,2,0100 0922 1822,51,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
1000 W  24TH                         ST,,34.0334,-118.2821,1/4/2021 0:00,11/5/2020 0:00,1,3,Southwest,308,2,0100 1822 0930 0922,21,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
2000    CHARITON                     ST,,34.0386,-118.3786,11/28/2020 0:00,11/28/2020 0:00,2330,8,West LA,889,2,329,42,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,Property Crimes
500    PASEO MIRAMAR,,34.0458,-118.5568,10/12/2020 0:00,10/9/2020 0:00,1254,8,West LA,811,2,913,29,F,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
6000 W  JEFFERSON                    BL,,34.0211,-118.3791,3/10/2020 0:00,3/4/2020 0:00,1200,3,Southwest,341,1,0329 0344 1606,79,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
2500    ABBOT KINNEY                 BL,,33.9876,-118.4489,4/20/2020 0:00,4/20/2020 0:00,345,14,Pacific,1444,1,1606 0344 1300,30,M,W,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
1500 W  52ND                         ST,,33.9951,-118.3024,7/5/2022 0:00,3/2/2020 0:00,1,12,77th Street,1215,2,0100 0922 0929 0930,42,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
2700 S  STRONGS                      DR,,33.981,-118.4662,12/1/2020 0:00,12/1/2020 0:00,100,14,Pacific,1441,1,1606 0344,52,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
SEPULVEDA,VENTURA,34.1538,-118.4662,9/10/2020 0:00,9/10/2020 0:00,1530,9,Van Nuys,971,2,2049 2051 1822 0910 0522 0448 1402,13,F,W,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Crimes against Persons
1100    BROAD                        AV,,33.7849,-118.2612,12/10/2020 0:00,12/10/2020 0:00,1300,5,Harbor,517,1,344,70,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
